Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
04/14/2024 19:50,JN,1),,Core Machine Orders MoM,Feb,0.80%,7.70%,-1.70%,--,91.1111,JNMOCHNG Index
04/14/2024 19:50,JN,2),,Core Machine Orders YoY,Feb,-6.00%,-1.80%,-10.90%,--,62.2222,JNMOYOY Index
04/14/2024 21:20,CH,3),,1-Yr Medium-Term Lending Facility Rate,Apr-15,2.50%,2.50%,2.50%,--,33.9623,CHLLM1YR Index
04/14/2024 21:20,CH,4),,1-Yr Medium-Term Lending Facilities Volume,Apr-15,170.0b,100.0b,387.0b,--,18.8679,CHLLM1YV Index
04/15/2024 02:30,EC,5),,SURVEY REPORT: Euro Area Economic Forecasts in April 2024,,,,,,0,
04/15/2024 02:35,GE,6),,SURVEY REPORT: Germany Economic Forecasts in April 2024,,,,,,0,
04/15/2024 02:40,FR,7),,Bloomberg April France Economic Survey,,,,,,0,
04/15/2024 02:45,IT,8),,Bloomberg April Italy Economic Survey,,,,,,0,
04/15/2024 04:30,IT,9),,General Government Debt,Feb,--,2872.4b,2848.7b,2849.5b,0,ITGGTOTE Index
04/15/2024 05:00,EC,10),,Industrial Production SA MoM,Feb,0.80%,0.80%,-3.20%,-3.00%,58.5366,EUITEMUM Index
04/15/2024 05:00,EC,11),,Industrial Production WDA YoY,Feb,-5.50%,-6.40%,-6.70%,-6.60%,56.0976,EUIPEMUY Index
04/15/2024 08:00,CA,12),,Bloomberg Nanos Confidence,Apr-12,--,52.5,53.3,--,21.0526,BNCCINDX Index
04/15/2024 08:30,CA,13),,Manufacturing Sales MoM,Feb,0.70%,0.70%,0.20%,0.00%,63.1579,CAMFCHNG Index
04/15/2024 08:30,CA,14),,Wholesale Sales ex Petroleum MoM,Feb,0.80%,0.00%,0.10%,-0.20%,55.2632,CAWTMOM Index
04/15/2024 08:30,US,15),,Empire Manufacturing,Apr,-5.2,-14.3,-20.9,--,83.0769,EMPRGBCI Index
04/15/2024 08:30,US,16),,Retail Sales Advance MoM,Mar,0.40%,0.70%,0.60%,0.90%,93.0769,RSTAMOM Index
04/15/2024 08:30,US,17),,Retail Sales Ex Auto MoM,Mar,0.50%,1.10%,0.30%,0.60%,65.1538,RSTAXMOM Index
04/15/2024 08:30,US,18),,Retail Sales Ex Auto and Gas,Mar,0.30%,1.00%,0.30%,0.50%,56.9231,RSTAXAG% Index
04/15/2024 08:30,US,19),,Retail Sales Control Group,Mar,0.40%,1.10%,0.00%,0.30%,24.6154,RSTAXAGM Index
04/15/2024 10:00,US,20),,Business Inventories,Feb,0.40%,0.40%,0.00%,--,36.9231,MTIBCHNG Index
04/15/2024 10:00,US,21),,NAHB Housing Market Index,Apr,51,51,51,--,43.8462,USHBMIDX Index
04/15/2024 21:30,CH,22),,New Home Prices MoM,Mar,--,-0.34%,-0.36%,--,35.8491,CHHEAVGM Index
04/15/2024 21:30,CH,23),,Used Home Prices MoM,Mar,--,-0.53%,-0.62%,--,3.77358,CHHEAVSM Index
04/15/2024 22:00,CH,24),,GDP YoY,1Q,4.80%,5.30%,5.20%,--,96.2264,CNGDPYOY Index
04/15/2024 22:00,CH,25),,GDP SA QoQ,1Q,1.50%,1.60%,1.00%,1.20%,58.4906,CNGDPQOQ Index
04/15/2024 22:00,CH,26),,GDP YTD YoY,1Q,4.80%,5.30%,5.20%,--,66.0377,CNGDPC$Y Index
04/15/2024 22:00,CH,27),,Industrial Production YoY,Mar,6.00%,4.50%,--,--,88.6792,CHVAIOY Index
04/15/2024 22:00,CH,28),,Industrial Production YTD YoY,Mar,6.60%,6.10%,7.00%,--,67.9245,CHVAICY Index
04/15/2024 22:00,CH,29),,Retail Sales YoY,Mar,4.80%,3.10%,--,--,84.9057,CNRSCYOY Index
04/15/2024 22:00,CH,30),,Retail Sales YTD YoY,Mar,5.40%,4.70%,5.50%,--,62.2642,CNRSACMY Index
04/15/2024 22:00,CH,31),,Fixed Assets Ex Rural YTD YoY,Mar,4.00%,4.50%,4.20%,--,64.1509,CNFAYOY Index
04/15/2024 22:00,CH,32),,Property Investment YTD YoY,Mar,-9.20%,-9.50%,-9.00%,--,30.1887,CHRXCINY Index
04/15/2024 22:00,CH,33),,Residential Property Sales YTD YoY,Mar,--,-30.70%,-32.70%,--,7.54717,CHRXSARY Index
04/15/2024 22:00,CH,34),,Surveyed Jobless Rate,Mar,5.20%,5.20%,5.30%,--,26.4151,CNUESRU Index
04/16/2024 02:00,GE,35),,Wholesale Price Index YoY,Mar,--,-3.00%,-3.00%,--,7.69231,GRWPYOYI Index
04/16/2024 02:00,GE,36),,Wholesale Price Index MoM,Mar,--,0.20%,-0.10%,--,9.61538,GRWPMOMI Index
04/16/2024 02:00,UK,37),,Average Weekly Earnings 3M/YoY,Feb,5.50%,5.60%,5.60%,--,69.7674,UKAWMWHO Index
04/16/2024 02:00,UK,38),,Weekly Earnings ex Bonus 3M/YoY,Feb,5.80%,6.00%,6.10%,--,38.3721,UKAWXTOM Index
04/16/2024 02:00,UK,39),,ILO Unemployment Rate 3Mths,Feb,4.00%,4.20%,3.90%,4.00%,89.5349,UKUEILOR Index
04/16/2024 02:00,UK,40),,Employment Change 3M/3M,Feb,74k,-156k,-21k,-89k,24.4186,UKLFEMCH Index
04/16/2024 02:00,UK,41),,Payrolled Employees Monthly Change,Mar,20k,-67k,20k,-18k,8.13953,UKPYPEMC Index
04/16/2024 02:00,UK,42),,Claimant Count Rate,Mar,--,4.00%,4.00%,--,81.3953,UKUER Index
04/16/2024 02:00,UK,43),,Jobless Claims Change,Mar,--,10.9k,16.8k,4.1k,91.8605,UKUEMOM Index
04/16/2024 03:30,UK,44),,SURVEY REPORT: UK Economic Forecasts in April 2024,,,,,,0,
04/16/2024 04:00,IT,45),,CPI EU Harmonized YoY,Mar F,1.30%,1.20%,1.30%,--,94.1176,ITCPEY Index
04/16/2024 04:00,IT,46),,CPI FOI Index Ex Tobacco,Mar,--,119.4,119.3,--,2.94118,ITCPI Index
04/16/2024 05:00,GE,47),,ZEW Survey Expectations,Apr,35.5,42.9,31.7,--,96.1538,GRZEWI Index
04/16/2024 05:00,GE,48),,ZEW Survey Current Situation,Apr,-76,-79.2,-80.5,--,94.2308,GRZECURR Index
04/16/2024 05:00,EC,49),,ZEW Survey Expectations,Apr,--,43.9,33.5,--,60.9756,GRZEEUEX Index
04/16/2024 05:00,EC,50),,Trade Balance SA,Feb,21.8b,17.9b,28.1b,27.1b,24.3902,XTSBEZ Index
04/16/2024 05:00,EC,51),,Trade Balance NSA,Feb,--,23.6b,11.4b,--,21.9512,XTTBEZ Index
04/16/2024 05:00,IT,52),,Trade Balance Total,Feb,--,6034m,2655m,2495m,35.2941,ITTRALEE Index
04/16/2024 05:00,IT,53),,Trade Balance EU,Feb,--,-851m,-376m,-536m,11.7647,ITTRALEX Index
04/16/2024 08:15,CA,54),,Housing Starts,Mar,243.5k,242.2k,253.5k,260.0k,78.9474,CAHSTOTL Index
04/16/2024 08:30,US,55),,Housing Starts,Mar,1485k,1321k,1521k,1549k,87.6923,NHSPSTOT Index
04/16/2024 08:30,US,56),,Building Permits,Mar,1510k,1458k,1518k,1523k,61.3846,NHSPATOT Index
04/16/2024 08:30,US,57),,Housing Starts MoM,Mar,-2.40%,-14.70%,10.70%,12.70%,32.3077,NHCHSTCH Index
04/16/2024 08:30,US,58),,Building Permits MoM,Mar,-0.90%,-4.30%,1.90%,2.30%,29.2308,NHCHATCH Index
04/16/2024 08:30,CA,59),,CPI NSA MoM,Mar,0.70%,0.60%,0.30%,--,89.4737,CACPICHG Index
04/16/2024 08:30,US,60),,New York Fed Services Business Activity,Apr,--,-0.6,0.6,--,2.30769,NYBLCNBA Index
04/16/2024 08:30,CA,61),,CPI YoY,Mar,2.90%,2.90%,2.80%,--,94.7368,CACPIYOY Index
04/16/2024 08:30,CA,62),,Consumer Price Index,Mar,159.9,159.8,158.8,--,26.3158,CACPI Index
04/16/2024 08:30,CA,63),,CPI Core- Median YoY%,Mar,3.00%,2.80%,3.10%,3.00%,18.4211,CACPMYOY Index
04/16/2024 08:30,CA,64),,CPI Core- Trim YoY%,Mar,3.20%,3.10%,3.20%,--,15.7895,CACPTYOY Index
04/16/2024 09:15,US,65),,Industrial Production MoM,Mar,0.40%,0.40%,0.10%,0.40%,86.9231,IP CHNG Index
04/16/2024 09:15,US,66),,Capacity Utilization,Mar,78.50%,78.40%,78.30%,78.20%,60.8462,CPTICHNG Index
04/16/2024 09:15,US,67),,Manufacturing (SIC) Production,Mar,0.20%,0.50%,0.80%,1.20%,20,IPMGCHNG Index
04/16/2024 19:50,JN,68),,Trade Balance,Mar,¥345.5b,¥366.5b,-¥379.4b,-¥377.8b,65.5556,JNTBAL Index
04/16/2024 19:50,JN,69),,Trade Balance Adjusted,Mar,-¥302.5b,-¥701.5b,-¥451.6b,-¥566.2b,48.8889,JNTBALA Index
04/16/2024 19:50,JN,70),,Exports YoY,Mar,7.00%,7.30%,7.80%,--,50,JNTBEXPY Index
04/16/2024 19:50,JN,71),,Imports YoY,Mar,-5.10%,-4.90%,0.50%,--,42.2222,JNTBIMPY Index
04/17/2024 02:00,UK,72),,CPI MoM,Mar,0.40%,0.60%,0.60%,--,96.5116,UKRPCJMR Index
04/17/2024 02:00,UK,73),,CPI YoY,Mar,3.10%,3.20%,3.40%,--,97.6744,UKRPCJYR Index
04/17/2024 02:00,UK,74),,CPI Core YoY,Mar,4.10%,4.20%,4.50%,--,93.0233,UKHCA9IQ Index
04/17/2024 02:00,UK,75),,CPI Services YoY,Mar,5.80%,6.00%,6.10%,--,1.16279,UKHPSERY Index
04/17/2024 02:00,UK,76),,CPIH YoY,Mar,3.60%,3.80%,3.80%,--,23.2558,UKHCCPIY Index
04/17/2024 02:00,UK,77),,Retail Price Index,Mar,382.7,383,381,--,68.6047,UKRPI Index
04/17/2024 02:00,UK,78),,RPI MoM,Mar,0.40%,0.50%,0.80%,--,73.2558,UKRPMOM Index
04/17/2024 02:00,UK,79),,RPI YoY,Mar,4.20%,4.30%,4.50%,--,70.9302,UKRPYOY Index
04/17/2024 02:00,UK,80),,RPI Ex Mort Int.Payments (YoY),Mar,3.20%,3.30%,3.50%,--,54.6512,UKRPXYOY Index
04/17/2024 02:00,UK,81),,PPI Output NSA MoM,Mar,0.20%,0.20%,0.30%,--,13.9535,UKPPB7SM Index
